"Lists the number of deaths that resulted from infections that occurred in a month. For example, deaths from infections in January are deaths that occurred between January 22 and February 21",,,,,,,
Country,December,January,February,March,April,May,June
Afghanistan,0,0,0,0.9,3.903,9.813,15.85
Albania,0,0,0.694,8.33,1.736,4.165,24.32
Algeria,0,0,0.229,8.53,4.198,6.132,5.701
Andorra,0,0,0,465.94,194.132,12.942,0
Angola,0,0,0,0.06,0.03,0.15,0.635
Anguilla,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,30.63,0,0,0
Argentina,0,0,0.066,3.08,5.774,13.035,30.558
Armenia,0,0,0,8.09,14.503,89.429,107.316
Aruba,0,0,0,18.73,9.366,0,0
Australia,0,0,0.273,2.51,1.134,0.078,0.822
Austria,0,0,0.546,50.63,18.984,6.106,2.442
Azerbaijan,0,0.099,1.09,1.78,2.371,10.357,21.203
Bahamas,0,0,0,22.89,5.086,0,0
Bahrain,0,0,0.59,3.53,2.939,28.208,39.959
Bangladesh,0,0,1.176,0.61,1.732,6.313,7.548
Barbados,0,0,0,17.4,6.96,0,0
Belarus,0,0,0,5.39,13.54,17.353,16.93
Belgium,0,0,10.61,552.22,232.02,42.537,8.975
Belize,0,0,0,5.03,0,0,0
Benin,0,0,0,0.08,0.082,0.74,1.648
Bermuda,0,0,0,5.11,64.232,0,0
Bhutan,0,0,0,0,0,0,0
Bolivia,0,0,0,2.92,14.136,46.347,126.615
Bonaire Sint Eustatius and Saba,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,14.63,26.521,10.366,26.52
Botswana,0,0,0,0.43,0,0,0
Brazil,0,0,0.052,12.06,76.612,146.39,141.816
British Virgin Islands,0,0,0,33.07,0,0,0
Brunei,0,0,0,2.29,0,4.572,0
Bulgaria,0,0,0.432,5.76,11.088,11.375,15.69
Burkina Faso,0,0,0.048,1.77,0.672,0.048,0
Burundi,0,0,0,0.08,0,0,0
Cambodia,0,0,0,0,0,0,0
Cameroon,0,0,0,1.59,3.918,5.801,2.748
Canada,0,0,0.316,44.46,114.989,63.06,11.868
Cape Verde,0,0,0,1.8,3.598,8.995,23.384
Cayman Islands,0,0,15.216,0,0,0,0
Central African Republic,0,0,0,0,0,4.761,6.624
Chad,0,0,0,0,3.473,1.037,0.061
Chile,0,0,0,7.27,21.184,196.22,226.927
China,0.005,1.2,0.71,0.95,0.002,0.001,0.006
Colombia,0,0,0,3.72,8.669,29.401,94.394
Comoros,0,0,0,0,1.15,4.6,2.3
Congo,0,0,0,1.09,1.63,2.353,3.986
Costa Rica,0,0,0.392,0.79,0.785,0.392,10.599
