Code,Country,City/Region,Lat,Long,Setting1,Description,Indoor / Outdoor,Cases,Logo,Index Date,Reference,Flu Season,Setting2,Setting3,"Setting 4:
Singing, Loud Talking etc",Setting5: Refrigeration,End Date,Date
ATA1,Antarctica,"Antarctica Peninsula, Antarctica",-60.724,-54.3676,Ship: cruise,MC Greg Mortimer cruise ship to Antarctica,Indoor,128,6,1584230400,The Lighthouse,no,,,,,1601510400,"March 15, 2020"
AUS1,Australia,"Melbourne, VIC, Australia",-37.825,144.9787,Shoppping,Retail / Hospitality,Indoor / Outdoor,40,3,1585699200,ABC,no,,,,,1601510400,"April 1, 2020"
AUS2,Australia,"Melbourne, Victoria",-37.872,144.9821,Hospital,x,Indoor,15,2,1584835200,Herald Sun,no,,,,,1601510400,"March 22, 2020"
AUS3,Australia,"New South Wales, Australia",-32.495,146.5869,School,Secondary School,Indoor,3,1,1584662400,NSW Health Report,no,,,,,1601510400,"March 20, 2020"
AUS4,Australia,"New South Wales, Australia",-32.551,146.5869,School,Primary school,Indoor,2,1,1584662400,NSW Health Report,no,,,,,1601510400,"March 20, 2020"
AUS5,Australia,"Sydney, NSW, Australia",-33.8686,151.2094,Ship: Cruise,Ruby Princess,Indoor,662,11,1583798400,Guardian article,no,,,,,1601510400,"March 10, 2020"
AUS6,Australia,"Stanwell Tops, NSW, Australia",-34.222,150.9715,Wedding,x,Indoor / Outdoor,43,3,1583452800,Daily Mail article,no,,,x,,1601510400,"March 6, 2020"
AUS7,Australia,Tasman Sea,-35.622105,154.194614,Ship: Cruise,Cruise ship,Indoor,509,11,1584230400,Offshore Energy,no,,,,,1601510400,"March 15, 2020"
AUS8,Australia,"Bondi Beach, New South Wales, Australia",-33.89088,151.275343,Bar,Bucket List Bar,Indoor / Outdoor,20,2,1584230400,Sydney Morning Herald,no,Party,,x,,1601510400,"March 15, 2020"
AUS9,Australia,"Bondi Beach, New South Wales, Australia",-33.79088,151.775343,Restaurant,Bondi Hardware restaurant,Indoor,10,2,1584230400,Sydney Morning Herald,no,Dinner,,,,1601510400,"March 15, 2020"
AUT1,Austria,"Ischgl, Austria",47.0117464,10.2805853,Bar,Bar,Indoor,16,2,1583193600,CNN article,yes,,,x,,1601510400,"March 3, 2020"
BRA1,Brazil,"Bahia State, Brazil",-22.9839557,-43.2022163,Wedding / Engagement,x,Indoor / Outdoor,60,4,1583539200,Guardian,no,,,x,,1601510400,"March 7, 2020"
BRA2,Brazil,"Rio de Janeiro, Brazil",-22.906847,-43.172897,Wedding / Engagement,x,Indoor / Outdoor,12,2,1583798400,Vejario,no,,,x,,1601510400,"March 10, 2020"
BRA3,Brazil,"Rondônia, Brazil",-10.83077,-63.293072,Party,Two parties,Indoor,42,3,1585958400,Ultimo Segundo,unclear,,,x,,1601510400,"April 4, 2020"
BRA4,Brazil,"São Paulo, Brazil",-23.55052,-46.633308,Party,x,Indoor,14,2,1585612800,BBC,unclear,,,x,,1601510400,"March 31, 2020"
BRA5,Brazil,"Passo Fundo, Rio Grande do Sul",-28.287191,-52.350634,Meat Processing,JBS poultry processing plant,Indoor,94,4,1586390400,G1,no,,,x,x,1601510400,"April 9, 2020"
BRA6,Brazil,"Porto Alegre, Rio Grande do Sul",-29.985596,-51.150566,Medical,,Indoor,32,3,1587686400,PortoAlegre.rs.gov.br,no,,,,,1601510400,"April 24, 2020"
BRA7,Brazil,"Porto Alegre, Rio Grande do Sul",-29.99428,-51.162003,Medical,,Indoor,7,1,1588896000,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 8, 2020"
BRA8,Brazil,"Porto Alegre, Rio Grande do Sul",-30.011925,-51.177973,Medical,,Indoor,5,1,1589068800,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 10, 2020"
BRA9,Brazil,"Porto Alegre, Rio Grande do Sul",-30.02,-51.14,Other,,Unknown,11,2,1589587200,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 16, 2020"
BRA10,Brazil,"Porto Alegre, Rio Grande do Sul",-29.95,-51.12,Medical,,Indoor,27,3,1589760000,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 18, 2020"
BRA11,Brazil,"Porto Alegre, Rio Grande do Sul",-30.02,-51.14,Medical,,Indoor,19,3,1590105600,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 22, 2020"
BRA12,Brazil,"Porto Alegre, Rio Grande do Sul",-30.03,-51.145,Medical,,Indoor,15,3,1590278400,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 24, 2020"
BRA13,Brazil,"Porto Alegre, Rio Grande do Sul",-30.025,-51.2,Medical,,Indoor,21,3,1590019200,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 21, 2020"
BRA14,Brazil,"Porto Alegre, Rio Grande do Sul",-30.05,-51.195,Medical,,Indoor,191,6,1590451200,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 26, 2020"
BRA15,Brazil,"Porto Alegre, Rio Grande do Sul",-30.055,-51.188,Other,,unknown,23,3,1590451200,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 26, 2020"
BRA16,Brazil,"Porto Alegre, Rio Grande do Sul",-30.07,-51.07,Medical,,Indoor,25,3,1590796800,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 30, 2020"
BRA17,Brazil,"Porto Alegre, Rio Grande do Sul",-30.065,-51.09,Medical,,Indoor,36,4,1590796800,PortoAlegre.rs.gov.br,borderline,,,,,1601510400,"May 30, 2020"
BRA18,Brazil,"Porto Alegre, Rio Grande do Sul",-29.97428,-51.132003,Medical,,Indoor,11,2,1591228800,PortoAlegre.rs.gov.br,yes,,,,,1601510400,"June 4, 2020"
BRA19,Brazil,"Porto Alegre, Rio Grande do Sul",-29.95,-51.135,Nursing home,,Indoor,23,2,1591228800,PortoAlegre.rs.gov.br,yes,,,,,1601510400,"June 4, 2020"
BRA20,Brazil,"Porto Alegre, Rio Grande do Sul",-29.93,-51.16,Medical,,Indoor,13,2,1591315200,PortoAlegre.rs.gov.br,yes,,,,,1601510400,"June 5, 2020"
BRA21,Brazil,"Porto Alegre, Rio Grande do Sul",-29.99,-51.17,Medical,,Indoor,10,3,1592438400,PortoAlegre.rs.gov.br,yes,,,,,1601510400,"June 18, 2020"
CAN1,Canada,"Calgary, Alberta, Canada",51.028919,-113.951879,Religious,Group prayer in local home,Indoor,34,3,1583452800,Calgary Herald,yes,,,,,1601510400,"March 6, 2020"
CAN10,Canada,"Chilliwack, B. C., Canada",49.08489,-122.031333,Meat Processing,x,Indoor,7,1,1579046400,The Chilliwack Progress,yes,,,x,x,1601510400,"January 15, 2020"
CAN11,Canada,"Vancouver, B.C., Canada",49.2608724,-123.1139529,Conference,x,Indoor,17,2,1583452800,CBC,yes,,,,,1601510400,"March 6, 2020"
CAN12,Canada,"Halifax, Nova Scotia",44.654495,-63.592207,Nursing home,x,Indoor,324,9,1586908800,National Observer,yes,,,,,1601510400,"April 15, 2020"
CAN13,Canada,"Pickering, Ontario, Canada",43.844206,-79.083603,Nursing home,Orchard Villa,Indoor,102,6,1585699200,CBC,yes,,,,,1601510400,"April 1, 2020"
CAN14,Canada,"Mississauga, Ontario, Canada",43.57323,-79.610089,Nursing home,Camilla Care Community,Indoor,244,6,1585785600,CBC,yes,,,,,1601510400,"April 2, 2020"
CAN15,Canada,"Scarborough, Ontario, Canada",43.798448,-79.139836,Nursing home,Altamont Care Community,Indoor,150,6,1585872000,CBC,yes,,,,,1601510400,"April 3, 2020"
CAN16,Canada,"North York, Ontario, Canada",43.751013,-79.486311,Nursing home,Downsview Long Term Care,Indoor,211,6,1585958400,CBC,yes,,,,,1601510400,"April 4, 2020"
CAN17,Canada,"Toronto, Ontario, Canada",43.699806,-79.392411,Nursing home,Isabel and Arthur Meighen Manor,Indoor,78,4,1601769600,CBC,yes,,,,,1601510400,"October 4, 2020"
CAN18,Canada,"Toronto, Ontario, Canada",43.647416,-79.560479,Nursing home,Eatonville Care Center,Indoor,113,6,1586044800,CBC,yes,,,,,1601510400,"April 5, 2020"
CAN19,Canada,"North York, Ontario, Canada",43.756103,-79.521347,Nursing home,Hawthorne Place Care Centre),Indoor,181,6,1586131200,CBC,yes,,,,,1601510400,"April 6, 2020"
CAN2,Canada,"St. John's, Newfoundland, Canada",47.554022,-52.727451,Funeral,Funerals,Indoor,143,6,1584316800,CTV News,yes,,,,,1601510400,"March 16, 2020"
CAN20,Canada,"Scarborough, Ontario, Canada",43.781228,-79.202934,Nursing home,Seven Oaks Care Center,Indoor,80,4,1586217600,CBC,yes,,,,,1601510400,"April 7, 2020"
CAN3,Canada,"Christopher Lake, Saskatchewan, Canada",53.540061,-105.783728,Party,Snowmobile Club Meal,Indoor,24,2,1584144000,CTV News,yes,,,x,,1601510400,"March 14, 2020"
CAN4,Canada,"High River, Alberta, Canada",50.577379,-113.839292,Meat Processing,Meat processing,Indoor,950,11,1585612800,Global News,yes,,,x,x,1601510400,"March 31, 2020"
CAN5,Canada,"Edmonton, Canada",53.529273,-113.481736,Sports: Participation,Curling,Indoor,24,2,1583971200,National Post,yes,,,x,x,1601510400,"March 12, 2020"
